"ano","sq_candidato","nome_candidato","descricao_cargo","sigla_partido","desc_sit_cand_tot","sigla_uf","total_votos","sexo","estado_civil","grau_instrucao","descricao_ocupacao","cor_raca","data_nascimento","descricao_nacionalidade"
2014,10000000001,"GLADSON DE LIMA CAMELI","SENADOR","PP","ELEITO","AC",218756,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","26/03/1978","BRASILEIRA NATA"
2014,10000000158,"CARLOS CESAR CORREIA DE MESSIAS","DEPUTADO FEDERAL","PSB","ELEITO POR QP","AC",26448,"MASCULINO","CASADO(A)","ENSINO FUNDAMENTAL INCOMPLETO","OUTROS","PARDA","05/07/1958","BRASILEIRA NATA"
2014,10000000163,"LEONARDO CUNHA DE BRITO","DEPUTADO FEDERAL","PT","ELEITO POR QP","AC",20876,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ADVOGADO","BRANCA","13/04/1979","BRASILEIRA NATA"
2014,10000000166,"RAIMUNDO ANGELIM VASCONCELOS","DEPUTADO FEDERAL","PT","ELEITO POR QP","AC",39844,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","PROFESSOR DE ENSINO SUPERIOR","BRANCA","19/02/1955","BRASILEIRA NATA"
2014,10000000171,"SEBASTIÃO SIBÁ MACHADO OLIVEIRA","DEPUTADO FEDERAL","PT","ELEITO POR QP","AC",18395,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","24/01/1958","BRASILEIRA NATA"
2014,10000000173,"ALAN RICK MIRANDA","DEPUTADO FEDERAL","PRB","ELEITO POR MÉDIA","AC",17903,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","JORNALISTA E REDATOR","BRANCA","23/10/1976","BRASILEIRA NATA"
2014,10000000607,"WHERLES FERNANDES DA ROCHA","DEPUTADO FEDERAL","PSDB","ELEITO POR QP","AC",23466,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","23/10/1968","BRASILEIRA NATA"
2014,10000000613,"FLAVIANO FLÁVIO BAPTISTA DE MELO","DEPUTADO FEDERAL","PMDB","ELEITO POR QP","AC",18372,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","17/11/1949","BRASILEIRA NATA"
2014,10000000761,"JÉSSICA ROJAS SALES","DEPUTADO FEDERAL","PMDB","ELEITO POR QP","AC",20339,"FEMININO","SOLTEIRO(A)","SUPERIOR COMPLETO","MÉDICO","BRANCA","28/11/1980","BRASILEIRA NATA"
2014,20000000043,"JOSE CICERO SOARES DE ALMEIDA","DEPUTADO FEDERAL","PRTB","ELEITO POR QP","AL",64435,"MASCULINO","SOLTEIRO(A)","ENSINO MÉDIO COMPLETO","EMPRESÁRIO","BRANCA","08/01/1958","BRASILEIRA NATA"
2014,20000000153,"MAURÍCIO QUINTELLA MALTA LESSA","DEPUTADO FEDERAL","PR","ELEITO POR QP","AL",76706,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","28/03/1971","BRASILEIRA NATA"
2014,20000000167,"ARTHUR CESAR PEREIRA DE LIRA","DEPUTADO FEDERAL","PP","ELEITO POR QP","AL",98231,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","DEPUTADO","BRANCA","25/06/1969","BRASILEIRA NATA"
2014,20000000183,"JOÃO HENRIQUE HOLANDA CALDAS","DEPUTADO FEDERAL","SD","ELEITO POR QP","AL",135929,"MASCULINO","SOLTEIRO(A)","SUPERIOR COMPLETO","DEPUTADO","PARDA","22/07/1987","BRASILEIRA NATA"
2014,20000000199,"FERNANDO AFFONSO COLLOR DE MELLO","SENADOR","PTB","ELEITO","AL",689266,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ECONOMISTA","BRANCA","12/08/1949","BRASILEIRA NATA"
2014,20000000269,"RONALDO AUGUSTO LESSA SANTOS","DEPUTADO FEDERAL","PDT","ELEITO POR QP","AL",88125,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","ENGENHEIRO","BRANCA","25/04/1949","BRASILEIRA NATA"
2014,20000000274,"PAULO FERNANDO DOS SANTOS","DEPUTADO FEDERAL","PT","ELEITO POR MÉDIA","AL",53284,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","DEPUTADO","PRETA","15/09/1957","BRASILEIRA NATA"
2014,20000000279,"GIVALDO DE SÁ GOUVEIA CARIMBÃO","DEPUTADO FEDERAL","PROS","ELEITO POR QP","AL",82582,"MASCULINO","CASADO(A)","ENSINO FUNDAMENTAL INCOMPLETO","DEPUTADO","BRANCA","14/10/1957","BRASILEIRA NATA"
2014,20000000287,"MARX BELTRÃO LIMA SIQUEIRA","DEPUTADO FEDERAL","PMDB","ELEITO POR QP","AL",123317,"MASCULINO","CASADO(A)","SUPERIOR COMPLETO","ADVOGADO","BRANCA","28/11/1979","BRASILEIRA NATA"
2014,20000000382,"PEDRO TORRES BRANDÃO VILELA","DEPUTADO FEDERAL","PSDB","ELEITO POR QP","AL",119582,"MASCULINO","SOLTEIRO(A)","SUPERIOR COMPLETO","ADVOGADO","BRANCA","01/05/1985","BRASILEIRA NATA"
2014,30000000027,"DAVID SAMUEL ALCOLUMBRE TOBELEM","SENADOR","DEM","ELEITO","AP",131695,"MASCULINO","SOLTEIRO(A)","SUPERIOR INCOMPLETO","COMERCIANTE","PARDA","19/06/1977","BRASILEIRA NATA"
2014,30000000087,"ANTÔNIO ROBERTO RODRIGUES GÓES DA SILVA","DEPUTADO FEDERAL","PDT","ELEITO POR QP","AP",22134,"MASCULINO","DIVORCIADO(A)","SUPERIOR COMPLETO","ADMINISTRADOR","PARDA","22/06/1966","BRASILEIRA NATA"
2014,30000000122,"LUIZ GIONILSON PINHEIRO BORGES","DEPUTADO FEDERAL","PMDB","ELEITO POR MÉDIA","AP",18709,"MASCULINO","SOLTEIRO(A)","SUPERIOR COMPLETO","LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA","PARDA","06/03/1964","BRASILEIRA NATA"
