"Tabela 3175 - População residente, por cor ou raça, segundo a situação do domicílio, o sexo e a idade"
"Variável - População residente (Pessoas)"
"Unidade da Federação";"Sexo";"Idade";"Ano";"Cor ou raça";"Situação do domicílio";""
"Rondônia";"Homens";"0 a 4 anos";"2010";"Branca";"Urbana";"18720"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Branca";"Rural";"6024"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Preta";"Urbana";"1755"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Preta";"Rural";"580"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Amarela";"Urbana";"643"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Amarela";"Rural";"162"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Parda";"Urbana";"26827"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Parda";"Rural";"9230"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Indígena";"Urbana";"116"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Indígena";"Rural";"793"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Sem declaração";"Urbana";"4"
"Rondônia";"Homens";"0 a 4 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Branca";"Urbana";"16735"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Branca";"Rural";"6252"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Preta";"Urbana";"2665"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Preta";"Rural";"938"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Amarela";"Urbana";"790"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Amarela";"Rural";"186"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Parda";"Urbana";"30783"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Parda";"Rural";"11985"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Indígena";"Urbana";"124"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Indígena";"Rural";"753"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Sem declaração";"Urbana";"5"
"Rondônia";"Homens";"5 a 9 anos";"2010";"Sem declaração";"Rural";"-"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Branca";"Urbana";"17809"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Branca";"Rural";"7160"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Preta";"Urbana";"3312"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Preta";"Rural";"1171"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Amarela";"Urbana";"777"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Amarela";"Rural";"195"
"Rondônia";"Homens";"10 a 14 anos";"2010";"Parda";"Urbana";"34727"
